Open Date,Open Time,Close Time,Duration,Net P&L,Side,Entry Price,Symbol,Executions,Exit Price,First Leg Max,Pivot Low/High,Setup Valid,entry_ts,FLEM Price,FLEM Time,Pivot Price,Pivot Time
2025-04-23,09:33:00 EDT,,180.0,-629.0,long,18985.5,MNQ,2,18954.25,,,no,2025-04-23 13:33:00+00:00,18988.25,,,
2025-04-23,09:41:30 EDT,,540.0,861.0,long,19028.75,MNQ,2,19072.0,,,,2025-04-23 13:41:30+00:00,19113.0,2025-04-23 09:39:00-04:00,18966.75,2025-04-23 09:39:00-04:00
2025-04-23,10:24:00 EDT,,960.0,1431.0,long,19060.0,MNQ,2,19131.75,,,,2025-04-23 14:24:00+00:00,19113.0,2025-04-23 09:39:00-04:00,18966.75,2025-04-23 09:39:00-04:00
2025-04-24,09:39:30 EDT,,3870.0,4571.0,long,18901.0,MNQ,2,19129.75,,,,2025-04-24 13:39:30+00:00,18894.25,2025-04-24 09:32:30-04:00,18846.75,2025-04-24 09:36:00-04:00
2025-04-25,09:32:00 EDT,,240.0,-934.0,short,19290.75,MNQ,2,19337.25,,,no,2025-04-25 13:32:00+00:00,19281.25,,,
2025-04-25,09:48:00 EDT,,780.0,-839.0,short,19275.5,MNQ,2,19317.25,,,,2025-04-25 13:48:00+00:00,19273.75,2025-04-25 09:47:00-04:00,19306.5,2025-04-25 09:47:00-04:00
2025-04-25,10:07:30 EDT,,660.0,666.0,long,19347.25,MNQ,2,19380.75,,,,2025-04-25 14:07:30+00:00,19353.5,,,
2025-04-25,10:31:00 EDT,,480.0,-1119.0,short,19262.75,MNQ,2,19318.5,,,,2025-04-25 14:31:00+00:00,19252.75,2025-04-25 10:24:00-04:00,19305.5,2025-04-25 10:24:30-04:00
2025-04-28,09:33:00 EDT,,660.0,-849.0,short,19538.5,MNQ,2,19580.75,,,no,2025-04-28 13:33:00+00:00,,,,
2025-04-28,10:27:30 EDT,,3930.0,2896.0,short,19493.0,MNQ,2,19348.0,,,,2025-04-28 14:27:30+00:00,19433.0,2025-04-28 10:24:00-04:00,19539.5,2025-04-28 10:25:00-04:00
2025-04-29,09:33:00 EDT,,300.0,-934.0,long,19470.25,MNQ,2,19423.75,,,no,2025-04-29 13:33:00+00:00,19471.5,,,
2025-04-29,09:42:00 EDT,,2040.0,2006.0,long,19457.75,MNQ,2,19558.25,,,,2025-04-29 13:42:00+00:00,19461.5,2025-04-29 09:41:00-04:00,19435.25,2025-04-29 09:41:30-04:00
2025-05-01,09:35:00 EDT,,120.0,-354.0,short,19938.0,MNQ,2,19955.5,,,no,2025-05-01 13:35:00+00:00,19913.0,2025-05-01 09:32:00-04:00,19972.0,2025-05-01 09:33:00-04:00
2025-05-01,09:39:00 EDT,,540.0,-839.0,short,19927.0,MNQ,2,19968.75,,,no,2025-05-01 13:39:00+00:00,19913.0,2025-05-01 09:32:00-04:00,19972.0,2025-05-01 09:33:00-04:00
2025-05-01,09:55:00 EDT,,1140.0,411.0,short,19943.5,MNQ,2,19922.75,,,,2025-05-01 13:55:00+00:00,19888.5,2025-05-01 09:46:00-04:00,19998.0,2025-05-01 09:51:30-04:00
2025-05-01,10:29:00 EDT,,180.0,-374.0,long,20003.0,MNQ,2,19984.5,,,no,2025-05-01 14:29:00+00:00,20004.25,2025-05-01 10:28:00-04:00,19987.0,2025-05-01 10:28:30-04:00
2025-05-01,10:35:00 EDT,,2730.0,2076.0,long,20000.75,MNQ,2,20104.75,,,,2025-05-01 14:35:00+00:00,20004.25,2025-05-01 10:28:00-04:00,19975.0,2025-05-01 10:32:30-04:00
2025-05-02,09:33:30 EDT,,90.0,-704.0,long,20122.25,MNQ,2,20087.25,,,,2025-05-02 13:33:30+00:00,20121.25,2025-05-02 09:32:30-04:00,20100.0,2025-05-02 09:32:30-04:00
2025-05-02,09:36:30 EDT,,210.0,-479.0,short,20066.0,MNQ,2,20089.75,,,no,2025-05-02 13:36:30+00:00,20121.25,2025-05-02 09:32:30-04:00,20061.25,2025-05-02 09:36:00-04:00
2025-05-02,09:45:30 EDT,,150.0,-794.0,long,20110.25,MNQ,2,20070.75,,,no,2025-05-02 13:45:30+00:00,20119.75,2025-05-02 09:42:00-04:00,20077.25,2025-05-02 09:43:00-04:00
2025-05-02,09:51:30 EDT,,270.0,-849.0,short,20051.5,MNQ,2,20093.75,,,no,2025-05-02 13:51:30+00:00,20046.25,2025-05-02 09:50:00-04:00,20091.5,2025-05-02 09:51:00-04:00
2025-05-02,10:06:00 EDT,,1500.0,681.0,long,20129.0,MNQ,2,20163.25,,,,2025-05-02 14:06:00+00:00,20138.0,2025-05-02 10:04:30-04:00,20101.75,2025-05-02 10:04:30-04:00
2025-05-05,09:37:00 EDT,,180.0,-484.0,long,20044.5,MNQ,2,20020.5,,,no,2025-05-05 13:37:00+00:00,20046.5,,,
2025-05-05,09:45:00 EDT,,420.0,-309.0,long,20034.25,MNQ,2,20019.0,,,,2025-05-05 13:45:00+00:00,20046.75,2025-05-05 09:44:00-04:00,20028.75,2025-05-05 09:44:30-04:00
2025-05-05,09:56:00 EDT,,1440.0,746.0,long,20047.0,MNQ,2,20084.5,,,,2025-05-05 13:56:00+00:00,20061.5,2025-05-05 09:50:00-04:00,20008.25,2025-05-05 09:52:00-04:00
2025-05-06,09:42:30 EDT,,270.0,-604.0,long,19855.0,MNQ,2,19825.0,,,no,2025-05-06 13:42:30+00:00,19864.5,,,
2025-05-06,09:49:00 EDT,,60.0,-444.0,long,19821.5,MNQ,2,19799.5,,,no,2025-05-06 13:49:00+00:00,19864.5,2025-05-06 09:46:00-04:00,19801.0,2025-05-06 09:48:00-04:00
2025-05-06,09:59:30 EDT,,210.0,-474.0,short,19761.0,MNQ,2,19784.5,,,,2025-05-06 13:59:30+00:00,19746.75,2025-05-06 09:56:00-04:00,19782.75,2025-05-06 09:56:30-04:00
2025-05-06,10:12:00 EDT,,2340.0,1396.0,long,19830.5,MNQ,2,19900.5,,,,2025-05-06 14:12:00+00:00,19833.0,,,
2025-05-07,09:33:30 EDT,,90.0,-329.0,long,19911.75,MNQ,2,19895.5,,,no,2025-05-07 13:33:30+00:00,19920.0,2025-05-07 09:32:30-04:00,19896.0,2025-05-07 09:32:30-04:00
2025-05-07,09:47:30 EDT,,90.0,-389.0,long,19920.5,MNQ,2,19901.25,,,,2025-05-07 13:47:30+00:00,19920.0,2025-05-07 09:32:30-04:00,19867.25,2025-05-07 09:35:30-04:00
2025-05-07,09:56:00 EDT,,2250.0,866.0,long,19921.75,MNQ,2,19965.25,,,no,2025-05-07 13:56:00+00:00,19920.0,2025-05-07 09:32:30-04:00,19858.0,2025-05-07 09:49:00-04:00
2025-05-09,09:37:30 EDT,,150.0,-294.0,long,20271.25,MNQ,2,20256.75,,,no,2025-05-09 13:37:30+00:00,20274.75,,,
2025-05-09,09:46:00 EDT,,780.0,-614.0,short,20226.0,MNQ,2,20256.5,,,no,2025-05-09 13:46:00+00:00,20223.75,,,
2025-05-09,10:04:00 EDT,,720.0,-514.0,long,20263.0,MNQ,2,20237.5,,,,2025-05-09 14:04:00+00:00,20266.75,2025-05-09 10:03:00-04:00,20256.0,2025-05-09 10:03:30-04:00
2025-05-12,09:34:30 EDT,,3930.0,1361.0,short,20814.75,MNQ,2,20746.5,,,no,2025-05-12 13:34:30+00:00,20809.0,,,
2025-05-14,09:32:00 EDT,,390.0,811.0,long,21339.5,MNQ,2,21380.25,,,no,2025-05-14 13:32:00+00:00,,,,
2025-05-14,09:54:00 EDT,,780.0,-914.0,short,21295.0,MNQ,2,21340.5,,,,2025-05-14 13:54:00+00:00,21277.0,2025-05-14 09:51:30-04:00,21331.0,2025-05-14 09:52:00-04:00
2025-05-16,09:41:00 EDT,,2340.0,-584.0,short,21426.75,MNQ,2,21455.75,,,,2025-05-16 13:41:00+00:00,21402.5,2025-05-16 09:39:00-04:00,21444.0,2025-05-16 09:39:30-04:00
2025-05-20,09:44:30 EDT,,1589.999,501.0,short,21407.75,MNQ,2,21382.5,,,,2025-05-20 13:44:30+00:00,21404.75,2025-05-20 09:37:00-04:00,21439.75,2025-05-20 09:40:00-04:00
2025-05-23,09:53:00 EDT,,2040.0,1346.0,long,20891.5,MNQ,2,20959.0,,,,2025-05-23 13:53:00+00:00,20953.5,2025-05-23 09:43:30-04:00,20843.75,2025-05-23 09:48:00-04:00
