year,month,trades,actual_win_rate_pct,one_side_contracts,round_trip_contracts,gross_pnl,commissions_0p25_per_contract_per_execution,net_pnl_after_commissions,cumulative_gross_pnl,cumulative_commissions,cumulative_net_pnl
2024,2024-01,87,31.0,5125.0,10250.0,-11482.0,2562.5,-14044.5,-11482.0,2562.5,-14044.5
2024,2024-05,79,36.7,5734.0,11468.0,2133.0,2867.0,-734.0,-9349.0,5429.5,-14778.5
2024,2024-06,64,45.3,4213.0,8426.0,14626.5,2106.5,12520.0,5277.5,7536.0,-2258.5
2024,2024-07,70,35.7,3922.0,7844.0,7191.0,1961.0,5230.0,12468.5,9497.0,2971.5
2024,2024-08,53,35.8,2893.0,5786.0,4122.0,1446.5,2675.5,16590.5,10943.5,5647.0
2024,2024-09,52,40.4,2906.0,5812.0,8785.0,1453.0,7332.0,25375.5,12396.5,12979.0
2024,2024-10,54,33.3,2659.0,5318.0,-4821.5,1329.5,-6151.0,20554.0,13726.0,6828.0
2024,2024-11,60,36.7,4145.0,8290.0,-1920.0,2072.5,-3992.5,18634.0,15798.5,2835.5
2024,2024-12,68,38.2,4273.0,8546.0,1580.0,2136.5,-556.5,20214.0,17935.0,2279.0
2025,2025-01,32,40.6,1491.0,2982.0,8400.5,745.5,7655.0,8400.5,745.5,7655.0
2025,2025-02,37,45.9,1940.0,3880.0,7337.5,970.0,6367.5,15738.0,1715.5,14022.5
2025,2025-03,21,33.3,1480.0,2960.0,2523.0,740.0,1783.0,18261.0,2455.5,15805.5
2025,2025-04,30,23.3,1703.0,3406.0,16497.5,851.5,15646.0,34758.5,3307.0,31451.5
2025,2025-05,64,50.0,3468.0,6936.0,18821.0,1734.0,17087.0,53579.5,5041.0,48538.5
2025,2025-06,63,49.2,3134.0,6268.0,9863.5,1567.0,8296.5,63443.0,6608.0,56835.0
2025,2025-07,84,34.5,6505.0,13010.0,2256.5,3252.5,-996.0,65699.5,9860.5,55839.0
2025,2025-08,48,43.8,2483.0,4966.0,5674.0,1241.5,4432.5,71373.5,11102.0,60271.5
2025,2025-09,59,35.6,3644.0,7288.0,8015.0,1822.0,6193.0,79388.5,12924.0,66464.5
2025,2025-10,88,38.6,4852.0,9704.0,17913.5,2426.0,15487.5,97302.0,15350.0,81952.0
2025,2025-11,23,52.2,1314.0,2628.0,6049.0,657.0,5392.0,103351.0,16007.0,87344.0
2025,2025-12,74,40.5,4086.0,8172.0,-1406.5,2043.0,-3449.5,101944.5,18050.0,83894.5
2026,2026-01,30,46.7,1432.0,2864.0,11588.5,716.0,10872.5,11588.5,716.0,10872.5
2026,2026-02,7,28.6,272.0,544.0,981.5,136.0,845.5,12570.0,852.0,11718.0
2026,2026-03,42,33.3,1914.0,3828.0,7850.0,957.0,6893.0,20420.0,1809.0,18611.0
